2018-11-02 18:30:45,069 - DEBUG - generation=8, Rank=4, processid=boyle-n026.cluster, parent={'dropout': 0.1, 'optimizer': 'adagrad', 'activation': 'elu', 'nbLayers': 12, 'nbNeurons': 32}, child={'dropout': 0.1, 'optimizer': 'adagrad', 'activation': 'elu', 'nbLayers': 12, 'nbNeurons': 32}, parentFitness=36.8700, childFitness=38.2500, networkFitness=38.9200
2018-11-02 18:32:08,541 - DEBUG - generation=9, Rank=3, processid=boyle-n026.cluster, parent={'dropout': 0.5, 'optimizer': 'sgd', 'activation': 'tanh', 'nbLayers': 15, 'nbNeurons': 16}, child={'dropout': 0.25, 'optimizer': 'nadam', 'activation': 'tanh', 'nbLayers': 1, 'nbNeurons': 32}, parentFitness=10.0000, childFitness=31.4500, networkFitness=38.8700
2018-11-02 18:32:11,033 - DEBUG - generation=9, Rank=2, processid=boyle-n026.cluster, parent={'dropout': 0.25, 'optimizer': 'nadam', 'activation': 'elu', 'nbLayers': 1, 'nbNeurons': 32}, child={'dropout': 0.25, 'optimizer': 'adam', 'activation': 'elu', 'nbLayers': 1, 'nbNeurons': 32}, parentFitness=38.2200, childFitness=41.2900, networkFitness=42.2000
2018-11-02 18:32:21,630 - DEBUG - generation=9, Rank=4, processid=boyle-n026.cluster, parent={'dropout': 0.1, 'optimizer': 'adagrad', 'activation': 'elu', 'nbLayers': 12, 'nbNeurons': 32}, child={'dropout': 0.4, 'optimizer': 'adagrad', 'activation': 'elu', 'nbLayers': 12, 'nbNeurons': 32}, parentFitness=39.8000, childFitness=10.0000, networkFitness=39.8000
2018-11-02 18:32:26,855 - DEBUG - generation=9, Rank=1, processid=boyle-n026.cluster, parent={'dropout': 0.1, 'optimizer': 'adam', 'activation': 'elu', 'nbLayers': 3, 'nbNeurons': 64}, child={'dropout': 0.1, 'optimizer': 'adam', 'activation': 'elu', 'nbLayers': 6, 'nbNeurons': 32}, parentFitness=45.8200, childFitness=38.9100, networkFitness=46.1400
2018-11-02 18:32:34,466 - DEBUG - generation=9, Rank=5, processid=boyle-n026.cluster, parent={'dropout': 0.1, 'optimizer': 'adagrad', 'activation': 'elu', 'nbLayers': 12, 'nbNeurons': 32}, child={'dropout': 0.1, 'optimizer': 'adagrad', 'activation': 'elu', 'nbLayers': 12, 'nbNeurons': 32}, parentFitness=38.5200, childFitness=34.3200, networkFitness=39.5900
2018-11-02 18:32:43,581 - DEBUG - generation=9, Rank=0, processid=boyle-n026.cluster, parent={'dropout': 0.1, 'optimizer': 'adagrad', 'activation': 'elu', 'nbLayers': 6, 'nbNeurons': 32}, child={'dropout': 0.1, 'optimizer': 'adagrad', 'activation': 'elu', 'nbLayers': 12, 'nbNeurons': 32}, parentFitness=40.8600, childFitness=37.6100, networkFitness=41.9200
2018-11-02 18:34:11,806 - DEBUG - generation=10, Rank=1, processid=boyle-n026.cluster, parent={'dropout': 0.1, 'optimizer': 'adam', 'activation': 'elu', 'nbLayers': 3, 'nbNeurons': 64}, child={'dropout': 0.1, 'optimizer': 'adagrad', 'activation': 'elu', 'nbLayers': 3, 'nbNeurons': 32}, parentFitness=44.6000, childFitness=40.1700, networkFitness=46.1400
2018-11-02 18:34:17,776 - DEBUG - generation=10, Rank=2, processid=boyle-n026.cluster, parent={'dropout': 0.25, 'optimizer': 'nadam', 'activation': 'elu', 'nbLayers': 1, 'nbNeurons': 32}, child={'dropout': 0.25, 'optimizer': 'adam', 'activation': 'elu', 'nbLayers': 1, 'nbNeurons': 32}, parentFitness=41.5500, childFitness=42.1100, networkFitness=42.2000
2018-11-02 18:34:18,040 - DEBUG - generation=10, Rank=0, processid=boyle-n026.cluster, parent={'dropout': 0.1, 'optimizer': 'adagrad', 'activation': 'elu', 'nbLayers': 6, 'nbNeurons': 32}, child={'dropout': 0.4, 'optimizer': 'adagrad', 'activation': 'elu', 'nbLayers': 12, 'nbNeurons': 32}, parentFitness=40.2000, childFitness=10.0000, networkFitness=41.9200
2018-11-02 18:34:18,876 - DEBUG - generation=10, Rank=4, processid=boyle-n026.cluster, parent={'dropout': 0.1, 'optimizer': 'adagrad', 'activation': 'elu', 'nbLayers': 12, 'nbNeurons': 32}, child={'dropout': 0.1, 'optimizer': 'adagrad', 'activation': 'relu', 'nbLayers': 12, 'nbNeurons': 32}, parentFitness=36.7100, childFitness=19.3600, networkFitness=39.8000
2018-11-02 18:34:19,591 - DEBUG - generation=10, Rank=3, processid=boyle-n026.cluster, parent={'dropout': 0.25, 'optimizer': 'adamax', 'activation': 'relu', 'nbLayers': 9, 'nbNeurons': 4}, child={'dropout': 0.25, 'optimizer': 'nadam', 'activation': 'elu', 'nbLayers': 1, 'nbNeurons': 32}, parentFitness=15.8600, childFitness=38.1500, networkFitness=38.8700
2018-11-02 18:34:41,255 - DEBUG - generation=10, Rank=5, processid=boyle-n026.cluster, parent={'dropout': 0.1, 'optimizer': 'adagrad', 'activation': 'elu', 'nbLayers': 12, 'nbNeurons': 32}, child={'dropout': 0.1, 'optimizer': 'adagrad', 'activation': 'elu', 'nbLayers': 12, 'nbNeurons': 32}, parentFitness=38.4700, childFitness=33.1800, networkFitness=39.5900
2018-11-02 18:36:50,200 - DEBUG - generation=11, Rank=0, processid=boyle-n026.cluster, parent={'dropout': 0.1, 'optimizer': 'adagrad', 'activation': 'elu', 'nbLayers': 6, 'nbNeurons': 32}, child={'dropout': 0.25, 'optimizer': 'adagrad', 'activation': 'elu', 'nbLayers': 12, 'nbNeurons': 32}, parentFitness=42.2100, childFitness=19.3500, networkFitness=42.2100
2018-11-02 18:36:52,848 - DEBUG - generation=11, Rank=2, processid=boyle-n026.cluster, parent={'dropout': 0.1, 'optimizer': 'nadam', 'activation': 'elu', 'nbLayers': 3, 'nbNeurons': 64}, child={'dropout': 0.1, 'optimizer': 'nadam', 'activation': 'elu', 'nbLayers': 3, 'nbNeurons': 64}, parentFitness=40.0500, childFitness=43.8200, networkFitness=43.8200
2018-11-02 18:36:53,862 - DEBUG - generation=11, Rank=4, processid=boyle-n026.cluster, parent={'dropout': 0.1, 'optimizer': 'adagrad', 'activation': 'elu', 'nbLayers': 12, 'nbNeurons': 32}, child={'dropout': 0.4, 'optimizer': 'adagrad', 'activation': 'hard_sigmoid', 'nbLayers': 12, 'nbNeurons': 32}, parentFitness=34.9100, childFitness=10.0000, networkFitness=39.8000
2018-11-02 18:37:01,208 - DEBUG - generation=11, Rank=1, processid=boyle-n026.cluster, parent={'dropout': 0.1, 'optimizer': 'adam', 'activation': 'elu', 'nbLayers': 3, 'nbNeurons': 64}, child={'dropout': 0.1, 'optimizer': 'adagrad', 'activation': 'elu', 'nbLayers': 6, 'nbNeurons': 64}, parentFitness=44.6600, childFitness=45.7700, networkFitness=46.1400
