2018-11-02 15:33:12,426 - DEBUG - generation=2, Rank=8, parent={'dropout': 0.25, 'optimizer': 'sgd', 'activation': 'tanh', 'nbLayers': 15, 'nbNeurons': 64}, child={'dropout': 0.25, 'optimizer': 'sgd', 'activation': 'tanh', 'nbLayers': 15, 'nbNeurons': 64}, parentFitness=18.0500, childFitness=17.8900, networkFitness=18.0500
2018-11-02 15:35:36,330 - DEBUG - generation=2, Rank=9, parent={'dropout': 0.25, 'optimizer': 'sgd', 'activation': 'tanh', 'nbLayers': 15, 'nbNeurons': 64}, child={'dropout': 0.25, 'optimizer': 'sgd', 'activation': 'tanh', 'nbLayers': 15, 'nbNeurons': 64}, parentFitness=17.9200, childFitness=18.0000, networkFitness=23.4000
2018-11-02 15:37:43,837 - DEBUG - generation=3, Rank=0, parent={'dropout': 0.3, 'optimizer': 'adamax', 'activation': 'selu', 'nbLayers': 15, 'nbNeurons': 16}, child={'dropout': 0.3, 'optimizer': 'sgd', 'activation': 'tanh', 'nbLayers': 15, 'nbNeurons': 16}, parentFitness=10.0000, childFitness=9.4300, networkFitness=41.8700
2018-11-02 15:40:00,382 - DEBUG - generation=3, Rank=1, parent={'dropout': 0.25, 'optimizer': 'adadelta', 'activation': 'tanh', 'nbLayers': 6, 'nbNeurons': 64}, child={'dropout': 0.25, 'optimizer': 'adadelta', 'activation': 'selu', 'nbLayers': 6, 'nbNeurons': 16}, parentFitness=30.8900, childFitness=26.5400, networkFitness=30.8900
2018-11-02 15:42:25,695 - DEBUG - generation=3, Rank=2, parent={'dropout': 0.25, 'optimizer': 'sgd', 'activation': 'tanh', 'nbLayers': 1, 'nbNeurons': 64}, child={'dropout': 0.25, 'optimizer': 'adadelta', 'activation': 'tanh', 'nbLayers': 1, 'nbNeurons': 64}, parentFitness=40.3100, childFitness=39.2800, networkFitness=40.7700
2018-11-02 15:44:46,373 - DEBUG - generation=3, Rank=3, parent={'dropout': 0.25, 'optimizer': 'sgd', 'activation': 'tanh', 'nbLayers': 1, 'nbNeurons': 64}, child={'dropout': 0.25, 'optimizer': 'sgd', 'activation': 'tanh', 'nbLayers': 1, 'nbNeurons': 64}, parentFitness=37.0900, childFitness=42.3900, networkFitness=42.3900
2018-11-02 15:47:46,194 - DEBUG - generation=3, Rank=4, parent={'dropout': 0.25, 'optimizer': 'sgd', 'activation': 'tanh', 'nbLayers': 15, 'nbNeurons': 64}, child={'dropout': 0.25, 'optimizer': 'sgd', 'activation': 'tanh', 'nbLayers': 15, 'nbNeurons': 64}, parentFitness=18.0000, childFitness=19.8200, networkFitness=19.8200
2018-11-02 15:50:32,757 - DEBUG - generation=3, Rank=5, parent={'dropout': 0.25, 'optimizer': 'sgd', 'activation': 'tanh', 'nbLayers': 15, 'nbNeurons': 64}, child={'dropout': 0.25, 'optimizer': 'sgd', 'activation': 'tanh', 'nbLayers': 15, 'nbNeurons': 64}, parentFitness=17.7900, childFitness=17.6400, networkFitness=24.9000
2018-11-02 15:53:05,592 - DEBUG - generation=3, Rank=6, parent={'dropout': 0.25, 'optimizer': 'sgd', 'activation': 'tanh', 'nbLayers': 15, 'nbNeurons': 64}, child={'dropout': 0.25, 'optimizer': 'sgd', 'activation': 'tanh', 'nbLayers': 15, 'nbNeurons': 64}, parentFitness=17.9700, childFitness=17.9500, networkFitness=18.6000
2018-11-02 15:56:23,280 - DEBUG - generation=3, Rank=7, parent={'dropout': 0.25, 'optimizer': 'sgd', 'activation': 'tanh', 'nbLayers': 15, 'nbNeurons': 64}, child={'dropout': 0.25, 'optimizer': 'adagrad', 'activation': 'tanh', 'nbLayers': 15, 'nbNeurons': 64}, parentFitness=18.3100, childFitness=9.9900, networkFitness=18.3100
