2018-11-02 20:03:46,626 - DEBUG - generation=4, Rank=1, processid=boyle-n010.cluster, parent={'dropout': 0.5, 'optimizer': 'adam', 'activation': 'selu', 'nbLayers': 3, 'nbNeurons': 128}, child={'dropout': 0.5, 'optimizer': 'adamax', 'activation': 'hard_sigmoid', 'nbLayers': 3, 'nbNeurons': 32}, parentFitness=40.1900, childFitness=18.8000, networkFitness=40.1900
2018-11-02 20:03:47,969 - DEBUG - generation=4, Rank=3, processid=boyle-n010.cluster, parent={'dropout': 0.2, 'optimizer': 'sgd', 'activation': 'selu', 'nbLayers': 3, 'nbNeurons': 64}, child={'dropout': 0.2, 'optimizer': 'sgd', 'activation': 'selu', 'nbLayers': 3, 'nbNeurons': 64}, parentFitness=31.7500, childFitness=39.0700, networkFitness=39.0700
2018-11-02 20:03:54,377 - DEBUG - generation=4, Rank=0, processid=boyle-n010.cluster, parent={'dropout': 0.1, 'optimizer': 'adamax', 'activation': 'selu', 'nbLayers': 3, 'nbNeurons': 32}, child={'dropout': 0.1, 'optimizer': 'adagrad', 'activation': 'selu', 'nbLayers': 3, 'nbNeurons': 32}, parentFitness=44.4400, childFitness=39.4800, networkFitness=45.4800
2018-11-02 20:04:10,918 - DEBUG - generation=4, Rank=9, processid=boyle-n010.cluster, parent={'dropout': 0.1, 'optimizer': 'nadam', 'activation': 'selu', 'nbLayers': 3, 'nbNeurons': 32}, child={'dropout': 0.1, 'optimizer': 'nadam', 'activation': 'selu', 'nbLayers': 3, 'nbNeurons': 32}, parentFitness=38.4700, childFitness=44.1600, networkFitness=44.1600
2018-11-02 20:04:26,608 - DEBUG - generation=4, Rank=7, processid=boyle-n010.cluster, parent={'dropout': 0.4, 'optimizer': 'adadelta', 'activation': 'tanh', 'nbLayers': 1, 'nbNeurons': 16}, child={'dropout': 0.3, 'optimizer': 'nadam', 'activation': 'tanh', 'nbLayers': 6, 'nbNeurons': 128}, parentFitness=33.3100, childFitness=10.0000, networkFitness=33.3100
2018-11-02 20:05:09,301 - DEBUG - generation=4, Rank=6, processid=boyle-n010.cluster, parent={'dropout': 0.2, 'optimizer': 'nadam', 'activation': 'elu', 'nbLayers': 6, 'nbNeurons': 128}, child={'dropout': 0.2, 'optimizer': 'nadam', 'activation': 'elu', 'nbLayers': 6, 'nbNeurons': 128}, parentFitness=40.3400, childFitness=39.6300, networkFitness=42.5900
2018-11-02 20:05:21,558 - DEBUG - generation=4, Rank=2, processid=boyle-n010.cluster, parent={'dropout': 0.2, 'optimizer': 'adam', 'activation': 'selu', 'nbLayers': 6, 'nbNeurons': 128}, child={'dropout': 0.2, 'optimizer': 'adam', 'activation': 'selu', 'nbLayers': 6, 'nbNeurons': 128}, parentFitness=42.0300, childFitness=43.1200, networkFitness=43.1200
2018-11-02 20:08:54,416 - DEBUG - generation=5, Rank=5, processid=boyle-n010.cluster, parent={'dropout': 0.2, 'optimizer': 'nadam', 'activation': 'elu', 'nbLayers': 6, 'nbNeurons': 128}, child={'dropout': 0.1, 'optimizer': 'sgd', 'activation': 'tanh', 'nbLayers': 3, 'nbNeurons': 8}, parentFitness=41.3500, childFitness=31.6600, networkFitness=42.8100
2018-11-02 20:08:57,205 - DEBUG - generation=5, Rank=7, processid=boyle-n010.cluster, parent={'dropout': 0.2, 'optimizer': 'nadam', 'activation': 'selu', 'nbLayers': 3, 'nbNeurons': 16}, child={'dropout': 0.2, 'optimizer': 'nadam', 'activation': 'relu', 'nbLayers': 3, 'nbNeurons': 16}, parentFitness=34.6000, childFitness=10.0000, networkFitness=34.6000
2018-11-02 20:09:24,780 - DEBUG - generation=5, Rank=4, processid=boyle-n010.cluster, parent={'dropout': 0.1, 'optimizer': 'sgd', 'activation': 'tanh', 'nbLayers': 3, 'nbNeurons': 64}, child={'dropout': 0.1, 'optimizer': 'sgd', 'activation': 'tanh', 'nbLayers': 3, 'nbNeurons': 64}, parentFitness=32.7400, childFitness=40.7100, networkFitness=40.7100
