2018-11-02 19:32:55,628 - DEBUG - generation=2, Rank=3, processid=boyle-n026.cluster, parent={'dropout': 0.25, 'optimizer': 'nadam', 'activation': 'selu', 'nbLayers': 6, 'nbNeurons': 8}, child={'dropout': 0.25, 'optimizer': 'adam', 'activation': 'sigmoid', 'nbLayers': 6, 'nbNeurons': 4}, parentFitness=18.3300, childFitness=10.0000, networkFitness=18.9800
2018-11-02 19:32:57,738 - DEBUG - generation=2, Rank=8, processid=boyle-n026.cluster, parent={'dropout': 0.3, 'optimizer': 'nadam', 'activation': 'selu', 'nbLayers': 1, 'nbNeurons': 32}, child={'dropout': 0.3, 'optimizer': 'nadam', 'activation': 'selu', 'nbLayers': 1, 'nbNeurons': 32}, parentFitness=19.8800, childFitness=39.9200, networkFitness=39.9200
2018-11-02 19:33:06,347 - DEBUG - generation=2, Rank=2, processid=boyle-n026.cluster, parent={'dropout': 0.5, 'optimizer': 'adam', 'activation': 'sigmoid', 'nbLayers': 15, 'nbNeurons': 4}, child={'dropout': 0.5, 'optimizer': 'adam', 'activation': 'sigmoid', 'nbLayers': 9, 'nbNeurons': 16}, parentFitness=10.0000, childFitness=10.0000, networkFitness=10.0000
2018-11-02 19:33:08,407 - DEBUG - generation=2, Rank=5, processid=boyle-n026.cluster, parent={'dropout': 0.3, 'optimizer': 'adamax', 'activation': 'elu', 'nbLayers': 12, 'nbNeurons': 128}, child={'dropout': 0.3, 'optimizer': 'adamax', 'activation': 'elu', 'nbLayers': 12, 'nbNeurons': 8}, parentFitness=36.0500, childFitness=10.0000, networkFitness=36.0500
2018-11-02 19:33:09,390 - DEBUG - generation=2, Rank=4, processid=boyle-n026.cluster, parent={'dropout': 0.25, 'optimizer': 'nadam', 'activation': 'selu', 'nbLayers': 6, 'nbNeurons': 8}, child={'dropout': 0.25, 'optimizer': 'nadam', 'activation': 'selu', 'nbLayers': 6, 'nbNeurons': 8}, parentFitness=17.9300, childFitness=19.0800, networkFitness=20.0900
2018-11-02 19:33:13,427 - DEBUG - generation=2, Rank=10, processid=boyle-n026.cluster, parent={'dropout': 0.25, 'optimizer': 'nadam', 'activation': 'selu', 'nbLayers': 3, 'nbNeurons': 16}, child={'dropout': 0.25, 'optimizer': 'nadam', 'activation': 'selu', 'nbLayers': 3, 'nbNeurons': 16}, parentFitness=25.6600, childFitness=36.1200, networkFitness=36.1200
2018-11-02 19:33:21,065 - DEBUG - generation=2, Rank=7, processid=boyle-n026.cluster, parent={'dropout': 0.3, 'optimizer': 'adamax', 'activation': 'sigmoid', 'nbLayers': 1, 'nbNeurons': 64}, child={'dropout': 0.5, 'optimizer': 'adadelta', 'activation': 'hard_sigmoid', 'nbLayers': 3, 'nbNeurons': 64}, parentFitness=44.5200, childFitness=32.0100, networkFitness=45.2900
2018-11-02 19:33:25,581 - DEBUG - generation=2, Rank=9, processid=boyle-n026.cluster, parent={'dropout': 0.4, 'optimizer': 'nadam', 'activation': 'selu', 'nbLayers': 6, 'nbNeurons': 32}, child={'dropout': 0.4, 'optimizer': 'nadam', 'activation': 'selu', 'nbLayers': 6, 'nbNeurons': 32}, parentFitness=18.4900, childFitness=19.8600, networkFitness=19.8600
2018-11-02 19:33:40,184 - DEBUG - generation=2, Rank=6, processid=boyle-n026.cluster, parent={'dropout': 0.5, 'optimizer': 'adadelta', 'activation': 'elu', 'nbLayers': 3, 'nbNeurons': 128}, child={'dropout': 0.5, 'optimizer': 'adadelta', 'activation': 'elu', 'nbLayers': 3, 'nbNeurons': 128}, parentFitness=32.0300, childFitness=36.5000, networkFitness=36.5000
2018-11-02 19:34:15,483 - DEBUG - generation=2, Rank=1, processid=boyle-n026.cluster, parent={'dropout': 0.4, 'optimizer': 'adam', 'activation': 'elu', 'nbLayers': 9, 'nbNeurons': 128}, child={'dropout': 0.4, 'optimizer': 'adam', 'activation': 'elu', 'nbLayers': 9, 'nbNeurons': 128}, parentFitness=10.0000, childFitness=21.9300, networkFitness=21.9300
