2018-11-02 21:10:22,188 - DEBUG - generation=7, Rank=2, processid=boyle-n028.cluster, parent={'dropout': 0.1, 'optimizer': 'adamax', 'activation': 'elu', 'nbLayers': 6, 'nbNeurons': 128}, child={'dropout': 0.1, 'optimizer': 'adamax', 'activation': 'elu', 'nbLayers': 6, 'nbNeurons': 32}, parentFitness=48.4700, childFitness=45.1300, networkFitness=49.0000
2018-11-02 21:10:25,175 - DEBUG - generation=7, Rank=6, processid=boyle-n028.cluster, parent={'dropout': 0.25, 'optimizer': 'adamax', 'activation': 'selu', 'nbLayers': 3, 'nbNeurons': 64}, child={'dropout': 0.25, 'optimizer': 'adamax', 'activation': 'selu', 'nbLayers': 3, 'nbNeurons': 64}, parentFitness=18.1200, childFitness=44.6200, networkFitness=44.6200
2018-11-02 21:10:27,797 - DEBUG - generation=7, Rank=5, processid=boyle-n028.cluster, parent={'dropout': 0.1, 'optimizer': 'adamax', 'activation': 'selu', 'nbLayers': 3, 'nbNeurons': 64}, child={'dropout': 0.1, 'optimizer': 'adamax', 'activation': 'selu', 'nbLayers': 3, 'nbNeurons': 64}, parentFitness=46.7800, childFitness=47.3100, networkFitness=47.5000
2018-11-02 21:10:29,408 - DEBUG - generation=7, Rank=4, processid=boyle-n028.cluster, parent={'dropout': 0.1, 'optimizer': 'adamax', 'activation': 'selu', 'nbLayers': 3, 'nbNeurons': 64}, child={'dropout': 0.1, 'optimizer': 'adamax', 'activation': 'selu', 'nbLayers': 3, 'nbNeurons': 64}, parentFitness=44.2200, childFitness=48.6300, networkFitness=48.6300
2018-11-02 21:10:41,904 - DEBUG - generation=7, Rank=7, processid=boyle-n028.cluster, parent={'dropout': 0.1, 'optimizer': 'nadam', 'activation': 'selu', 'nbLayers': 3, 'nbNeurons': 128}, child={'dropout': 0.25, 'optimizer': 'nadam', 'activation': 'relu', 'nbLayers': 3, 'nbNeurons': 128}, parentFitness=45.2600, childFitness=18.0600, networkFitness=46.3500
2018-11-02 21:12:43,195 - DEBUG - generation=8, Rank=1, processid=boyle-n028.cluster, parent={'dropout': 0.1, 'optimizer': 'adamax', 'activation': 'elu', 'nbLayers': 6, 'nbNeurons': 32}, child={'dropout': 0.1, 'optimizer': 'adadelta', 'activation': 'relu', 'nbLayers': 6, 'nbNeurons': 8}, parentFitness=44.2100, childFitness=18.9600, networkFitness=44.3800
2018-11-02 21:12:45,659 - DEBUG - generation=8, Rank=5, processid=boyle-n028.cluster, parent={'dropout': 0.1, 'optimizer': 'adamax', 'activation': 'selu', 'nbLayers': 3, 'nbNeurons': 64}, child={'dropout': 0.1, 'optimizer': 'adamax', 'activation': 'selu', 'nbLayers': 3, 'nbNeurons': 16}, parentFitness=48.2100, childFitness=40.0100, networkFitness=48.2100
2018-11-02 21:12:59,896 - DEBUG - generation=8, Rank=2, processid=boyle-n028.cluster, parent={'dropout': 0.1, 'optimizer': 'adamax', 'activation': 'elu', 'nbLayers': 6, 'nbNeurons': 128}, child={'dropout': 0.1, 'optimizer': 'adamax', 'activation': 'elu', 'nbLayers': 6, 'nbNeurons': 16}, parentFitness=46.5800, childFitness=38.4000, networkFitness=49.0000
2018-11-02 21:13:06,967 - DEBUG - generation=8, Rank=6, processid=boyle-n028.cluster, parent={'dropout': 0.25, 'optimizer': 'adamax', 'activation': 'selu', 'nbLayers': 3, 'nbNeurons': 64}, child={'dropout': 0.25, 'optimizer': 'adamax', 'activation': 'selu', 'nbLayers': 3, 'nbNeurons': 64}, parentFitness=44.9200, childFitness=44.9700, networkFitness=44.9700
2018-11-02 21:13:07,018 - DEBUG - generation=8, Rank=4, processid=boyle-n028.cluster, parent={'dropout': 0.1, 'optimizer': 'adamax', 'activation': 'selu', 'nbLayers': 3, 'nbNeurons': 64}, child={'dropout': 0.1, 'optimizer': 'adamax', 'activation': 'elu', 'nbLayers': 3, 'nbNeurons': 64}, parentFitness=46.8400, childFitness=47.7400, networkFitness=48.6300
2018-11-02 21:13:24,419 - DEBUG - generation=8, Rank=3, processid=boyle-n028.cluster, parent={'dropout': 0.1, 'optimizer': 'adamax', 'activation': 'elu', 'nbLayers': 3, 'nbNeurons': 128}, child={'dropout': 0.1, 'optimizer': 'adamax', 'activation': 'elu', 'nbLayers': 3, 'nbNeurons': 128}, parentFitness=49.6200, childFitness=48.8800, networkFitness=49.8100
