2018-11-02 15:51:08,823 - DEBUG - generation=8, Rank=2, parent={'dropout': 0.25, 'optimizer': 'adamax', 'activation': 'elu', 'nbLayers': 6, 'nbNeurons': 128}, child={'dropout': 0.25, 'optimizer': 'adamax', 'activation': 'elu', 'nbLayers': 6, 'nbNeurons': 128}, parentFitness=41.3800, childFitness=43.2200, networkFitness=43.2200
2018-11-02 15:55:01,683 - DEBUG - generation=8, Rank=3, parent={'dropout': 0.5, 'optimizer': 'adamax', 'activation': 'elu', 'nbLayers': 9, 'nbNeurons': 128}, child={'dropout': 0.5, 'optimizer': 'adamax', 'activation': 'elu', 'nbLayers': 9, 'nbNeurons': 128}, parentFitness=10.0000, childFitness=19.8200, networkFitness=19.8200
2018-11-02 16:00:44,140 - DEBUG - generation=8, Rank=4, parent={'dropout': 0.5, 'optimizer': 'adamax', 'activation': 'elu', 'nbLayers': 9, 'nbNeurons': 128}, child={'dropout': 0.5, 'optimizer': 'adamax', 'activation': 'elu', 'nbLayers': 9, 'nbNeurons': 128}, parentFitness=18.2800, childFitness=17.6200, networkFitness=19.3600
2018-11-02 16:03:47,596 - DEBUG - generation=8, Rank=5, parent={'dropout': 0.5, 'optimizer': 'adamax', 'activation': 'elu', 'nbLayers': 1, 'nbNeurons': 128}, child={'dropout': 0.5, 'optimizer': 'adamax', 'activation': 'elu', 'nbLayers': 1, 'nbNeurons': 32}, parentFitness=45.2900, childFitness=41.2000, networkFitness=45.8400
2018-11-02 16:08:37,087 - DEBUG - generation=9, Rank=0, parent={'dropout': 0.1, 'optimizer': 'adam', 'activation': 'tanh', 'nbLayers': 9, 'nbNeurons': 128}, child={'dropout': 0.1, 'optimizer': 'adam', 'activation': 'tanh', 'nbLayers': 1, 'nbNeurons': 128}, parentFitness=30.0500, childFitness=39.3100, networkFitness=45.8500
2018-11-02 16:14:10,184 - DEBUG - generation=9, Rank=1, parent={'dropout': 0.2, 'optimizer': 'adamax', 'activation': 'elu', 'nbLayers': 6, 'nbNeurons': 128}, child={'dropout': 0.1, 'optimizer': 'adagrad', 'activation': 'tanh', 'nbLayers': 9, 'nbNeurons': 128}, parentFitness=46.6300, childFitness=35.0500, networkFitness=46.6300
2018-11-02 16:19:28,135 - DEBUG - generation=9, Rank=2, parent={'dropout': 0.25, 'optimizer': 'adamax', 'activation': 'elu', 'nbLayers': 6, 'nbNeurons': 128}, child={'dropout': 0.2, 'optimizer': 'adamax', 'activation': 'hard_sigmoid', 'nbLayers': 6, 'nbNeurons': 128}, parentFitness=44.9600, childFitness=27.1500, networkFitness=44.9600
2018-11-02 16:24:36,418 - DEBUG - generation=9, Rank=3, parent={'dropout': 0.25, 'optimizer': 'adamax', 'activation': 'selu', 'nbLayers': 9, 'nbNeurons': 128}, child={'dropout': 0.25, 'optimizer': 'adamax', 'activation': 'selu', 'nbLayers': 9, 'nbNeurons': 128}, parentFitness=16.0900, childFitness=40.8100, networkFitness=40.8100
2018-11-02 16:29:57,039 - DEBUG - generation=9, Rank=4, parent={'dropout': 0.25, 'optimizer': 'adamax', 'activation': 'elu', 'nbLayers': 9, 'nbNeurons': 64}, child={'dropout': 0.25, 'optimizer': 'adamax', 'activation': 'elu', 'nbLayers': 9, 'nbNeurons': 64}, parentFitness=18.9000, childFitness=40.3100, networkFitness=40.3100
2018-11-02 16:33:54,422 - DEBUG - generation=9, Rank=5, parent={'dropout': 0.5, 'optimizer': 'adamax', 'activation': 'elu', 'nbLayers': 1, 'nbNeurons': 128}, child={'dropout': 0.5, 'optimizer': 'adamax', 'activation': 'elu', 'nbLayers': 1, 'nbNeurons': 128}, parentFitness=46.0200, childFitness=46.7400, networkFitness=46.7400
2018-11-02 16:37:10,232 - DEBUG - generation=10, Rank=0, parent={'dropout': 0.5, 'optimizer': 'adamax', 'activation': 'selu', 'nbLayers': 6, 'nbNeurons': 32}, child={'dropout': 0.5, 'optimizer': 'adamax', 'activation': 'selu', 'nbLayers': 1, 'nbNeurons': 32}, parentFitness=19.2400, childFitness=41.7600, networkFitness=45.8500
2018-11-02 16:42:21,917 - DEBUG - generation=10, Rank=1, parent={'dropout': 0.2, 'optimizer': 'adamax', 'activation': 'elu', 'nbLayers': 6, 'nbNeurons': 128}, child={'dropout': 0.2, 'optimizer': 'adamax', 'activation': 'elu', 'nbLayers': 6, 'nbNeurons': 128}, parentFitness=47.1300, childFitness=45.5400, networkFitness=47.1300
2018-11-02 16:47:34,820 - DEBUG - generation=10, Rank=2, parent={'dropout': 0.25, 'optimizer': 'adamax', 'activation': 'elu', 'nbLayers': 6, 'nbNeurons': 128}, child={'dropout': 0.25, 'optimizer': 'adamax', 'activation': 'elu', 'nbLayers': 6, 'nbNeurons': 128}, parentFitness=44.3800, childFitness=45.4800, networkFitness=45.4800
2018-11-02 16:54:20,064 - DEBUG - generation=10, Rank=3, parent={'dropout': 0.25, 'optimizer': 'adamax', 'activation': 'selu', 'nbLayers': 9, 'nbNeurons': 128}, child={'dropout': 0.25, 'optimizer': 'adamax', 'activation': 'selu', 'nbLayers': 9, 'nbNeurons': 128}, parentFitness=41.0800, childFitness=39.9200, networkFitness=41.0800
2018-11-02 16:58:52,563 - DEBUG - generation=10, Rank=4, parent={'dropout': 0.1, 'optimizer': 'adamax', 'activation': 'elu', 'nbLayers': 9, 'nbNeurons': 128}, child={'dropout': 0.1, 'optimizer': 'adamax', 'activation': 'elu', 'nbLayers': 9, 'nbNeurons': 128}, parentFitness=34.6100, childFitness=46.1500, networkFitness=46.1500
2018-11-02 17:02:53,939 - DEBUG - generation=10, Rank=5, parent={'dropout': 0.5, 'optimizer': 'adamax', 'activation': 'elu', 'nbLayers': 1, 'nbNeurons': 128}, child={'dropout': 0.5, 'optimizer': 'adamax', 'activation': 'elu', 'nbLayers': 1, 'nbNeurons': 128}, parentFitness=45.4900, childFitness=43.2400, networkFitness=46.7400
2018-11-02 17:05:09,283 - DEBUG - generation=11, Rank=0, parent={'dropout': 0.5, 'optimizer': 'sgd', 'activation': 'sigmoid', 'nbLayers': 1, 'nbNeurons': 4}, child={'dropout': 0.5, 'optimizer': 'sgd', 'activation': 'sigmoid', 'nbLayers': 1, 'nbNeurons': 4}, parentFitness=23.8800, childFitness=21.8800, networkFitness=45.8500
2018-11-02 17:09:35,356 - DEBUG - generation=11, Rank=1, parent={'dropout': 0.2, 'optimizer': 'adamax', 'activation': 'elu', 'nbLayers': 6, 'nbNeurons': 128}, child={'dropout': 0.5, 'optimizer': 'sgd', 'activation': 'elu', 'nbLayers': 1, 'nbNeurons': 128}, parentFitness=46.0500, childFitness=35.0900, networkFitness=47.1300
2018-11-02 17:14:57,576 - DEBUG - generation=11, Rank=2, parent={'dropout': 0.25, 'optimizer': 'adamax', 'activation': 'elu', 'nbLayers': 6, 'nbNeurons': 128}, child={'dropout': 0.2, 'optimizer': 'adamax', 'activation': 'elu', 'nbLayers': 6, 'nbNeurons': 128}, parentFitness=46.0400, childFitness=46.0200, networkFitness=46.0400
2018-11-02 17:21:32,238 - DEBUG - generation=11, Rank=3, parent={'dropout': 0.25, 'optimizer': 'adamax', 'activation': 'selu', 'nbLayers': 6, 'nbNeurons': 128}, child={'dropout': 0.25, 'optimizer': 'adamax', 'activation': 'selu', 'nbLayers': 6, 'nbNeurons': 128}, parentFitness=39.9300, childFitness=42.7100, networkFitness=42.7100
2018-11-02 17:25:47,187 - DEBUG - generation=11, Rank=4, parent={'dropout': 0.1, 'optimizer': 'adamax', 'activation': 'elu', 'nbLayers': 9, 'nbNeurons': 128}, child={'dropout': 0.25, 'optimizer': 'adamax', 'activation': 'selu', 'nbLayers': 9, 'nbNeurons': 4}, parentFitness=49.0500, childFitness=10.0000, networkFitness=49.0500
2018-11-02 17:29:53,628 - DEBUG - generation=11, Rank=5, parent={'dropout': 0.1, 'optimizer': 'adamax', 'activation': 'elu', 'nbLayers': 1, 'nbNeurons': 128}, child={'dropout': 0.1, 'optimizer': 'adamax', 'activation': 'elu', 'nbLayers': 1, 'nbNeurons': 128}, parentFitness=44.8900, childFitness=47.5400, networkFitness=47.5400
2018-11-02 17:34:59,536 - DEBUG - generation=12, Rank=0, parent={'dropout': 0.3, 'optimizer': 'sgd', 'activation': 'hard_sigmoid', 'nbLayers': 15, 'nbNeurons': 128}, child={'dropout': 0.1, 'optimizer': 'sgd', 'activation': 'hard_sigmoid', 'nbLayers': 15, 'nbNeurons': 128}, parentFitness=10.0000, childFitness=10.0000, networkFitness=45.8500
2018-11-02 17:40:07,020 - DEBUG - generation=12, Rank=1, parent={'dropout': 0.2, 'optimizer': 'adamax', 'activation': 'elu', 'nbLayers': 6, 'nbNeurons': 128}, child={'dropout': 0.2, 'optimizer': 'adamax', 'activation': 'elu', 'nbLayers': 6, 'nbNeurons': 128}, parentFitness=46.4900, childFitness=44.7600, networkFitness=47.1300
2018-11-02 17:45:31,223 - DEBUG - generation=12, Rank=2, parent={'dropout': 0.25, 'optimizer': 'adamax', 'activation': 'elu', 'nbLayers': 6, 'nbNeurons': 128}, child={'dropout': 0.25, 'optimizer': 'adamax', 'activation': 'elu', 'nbLayers': 6, 'nbNeurons': 128}, parentFitness=43.6300, childFitness=44.0800, networkFitness=46.0400
