2018-11-07 20:07:21,283 - DEBUG - generation=2, Rank=5, processid=boyle-n016.cluster, group=ID1, subRank=1, parent={'dropout': 0.1, 'optimizer': 'adam', 'activation': 'elu', 'nbLayers': 1, 'nbNeurons': 16}, child={'dropout': 0.1, 'optimizer': 'nadam', 'activation': 'elu', 'nbLayers': 1, 'nbNeurons': 8}, parentFitness=39.5600, childFitness=30.8700, networkFitness=42.3700, genBestFitness=46.1700
2018-11-07 20:07:21,283 - DEBUG - generation=2, Rank=10, processid=boyle-n016.cluster, group=ID2, subRank=2, parent={'dropout': 0.2, 'optimizer': 'sgd', 'activation': 'selu', 'nbLayers': 1, 'nbNeurons': 8}, child={'dropout': 0.2, 'optimizer': 'sgd', 'activation': 'selu', 'nbLayers': 1, 'nbNeurons': 8}, parentFitness=35.4400, childFitness=36.8700, networkFitness=36.8700, genBestFitness=46.1700
2018-11-07 20:07:21,283 - DEBUG - generation=2, Rank=11, processid=boyle-n016.cluster, group=ID2, subRank=3, parent={'dropout': 0.2, 'optimizer': 'adadelta', 'activation': 'selu', 'nbLayers': 12, 'nbNeurons': 64}, child={'dropout': 0.2, 'optimizer': 'adadelta', 'activation': 'selu', 'nbLayers': 12, 'nbNeurons': 64}, parentFitness=11.9300, childFitness=33.4100, networkFitness=33.4100, genBestFitness=46.1700
2018-11-07 20:07:21,283 - DEBUG - generation=2, Rank=3, processid=boyle-n016.cluster, group=ID0, subRank=3, parent={'dropout': 0.5, 'optimizer': 'adam', 'activation': 'sigmoid', 'nbLayers': 1, 'nbNeurons': 16}, child={'dropout': 0.5, 'optimizer': 'adam', 'activation': 'sigmoid', 'nbLayers': 1, 'nbNeurons': 16}, parentFitness=18.7500, childFitness=32.6300, networkFitness=32.6300, genBestFitness=46.1700
2018-11-07 20:07:21,283 - DEBUG - generation=2, Rank=2, processid=boyle-n016.cluster, group=ID0, subRank=2, parent={'dropout': 0.5, 'optimizer': 'adam', 'activation': 'sigmoid', 'nbLayers': 1, 'nbNeurons': 16}, child={'dropout': 0.5, 'optimizer': 'adam', 'activation': 'sigmoid', 'nbLayers': 1, 'nbNeurons': 16}, parentFitness=31.3900, childFitness=33.8200, networkFitness=34.4300, genBestFitness=46.1700
2018-11-07 20:07:21,283 - DEBUG - generation=2, Rank=9, processid=boyle-n016.cluster, group=ID2, subRank=1, parent={'dropout': 0.25, 'optimizer': 'sgd', 'activation': 'selu', 'nbLayers': 1, 'nbNeurons': 8}, child={'dropout': 0.25, 'optimizer': 'sgd', 'activation': 'selu', 'nbLayers': 12, 'nbNeurons': 8}, parentFitness=33.9700, childFitness=10.0000, networkFitness=36.1700, genBestFitness=46.1700
2018-11-07 20:07:21,283 - DEBUG - generation=2, Rank=4, processid=boyle-n016.cluster, group=ID1, subRank=0, parent={'dropout': 0.4, 'optimizer': 'nadam', 'activation': 'elu', 'nbLayers': 3, 'nbNeurons': 8}, child={'dropout': 0.25, 'optimizer': 'nadam', 'activation': 'elu', 'nbLayers': 3, 'nbNeurons': 8}, parentFitness=23.6200, childFitness=18.0800, networkFitness=23.6200, genBestFitness=46.1700
2018-11-07 20:07:21,283 - DEBUG - generation=2, Rank=0, processid=boyle-n016.cluster, group=ID0, subRank=0, parent={'dropout': 0.4, 'optimizer': 'adamax', 'activation': 'elu', 'nbLayers': 1, 'nbNeurons': 4}, child={'dropout': 0.4, 'optimizer': 'adamax', 'activation': 'elu', 'nbLayers': 1, 'nbNeurons': 4}, parentFitness=10.0000, childFitness=31.3900, networkFitness=31.3900, genBestFitness=46.1700
2018-11-07 20:07:21,283 - DEBUG - generation=2, Rank=7, processid=boyle-n016.cluster, group=ID1, subRank=3, parent={'dropout': 0.25, 'optimizer': 'nadam', 'activation': 'elu', 'nbLayers': 3, 'nbNeurons': 128}, child={'dropout': 0.5, 'optimizer': 'nadam', 'activation': 'elu', 'nbLayers': 3, 'nbNeurons': 128}, parentFitness=41.5800, childFitness=31.5800, networkFitness=41.5800, genBestFitness=46.1700
2018-11-07 20:07:21,283 - DEBUG - generation=2, Rank=6, processid=boyle-n016.cluster, group=ID1, subRank=2, parent={'dropout': 0.1, 'optimizer': 'adam', 'activation': 'elu', 'nbLayers': 3, 'nbNeurons': 64}, child={'dropout': 0.1, 'optimizer': 'adam', 'activation': 'elu', 'nbLayers': 1, 'nbNeurons': 16}, parentFitness=44.1000, childFitness=41.7400, networkFitness=46.1700, genBestFitness=46.1700
2018-11-07 20:07:21,283 - DEBUG - generation=2, Rank=1, processid=boyle-n016.cluster, group=ID0, subRank=1, parent={'dropout': 0.1, 'optimizer': 'adam', 'activation': 'sigmoid', 'nbLayers': 3, 'nbNeurons': 4}, child={'dropout': 0.4, 'optimizer': 'adamax', 'activation': 'sigmoid', 'nbLayers': 15, 'nbNeurons': 4}, parentFitness=18.6600, childFitness=10.0000, networkFitness=19.9200, genBestFitness=46.1700
2018-11-07 20:07:21,283 - DEBUG - generation=2, Rank=8, processid=boyle-n016.cluster, group=ID2, subRank=0, parent={'dropout': 0.5, 'optimizer': 'adam', 'activation': 'relu', 'nbLayers': 3, 'nbNeurons': 16}, child={'dropout': 0.5, 'optimizer': 'sgd', 'activation': 'selu', 'nbLayers': 12, 'nbNeurons': 8}, parentFitness=10.0000, childFitness=9.9600, networkFitness=10.0000, genBestFitness=46.1700
2018-11-07 20:10:04,793 - DEBUG - generation=3, Rank=10, processid=boyle-n016.cluster, group=ID2, subRank=2, parent={'dropout': 0.2, 'optimizer': 'sgd', 'activation': 'selu', 'nbLayers': 1, 'nbNeurons': 8}, child={'dropout': 0.2, 'optimizer': 'sgd', 'activation': 'selu', 'nbLayers': 1, 'nbNeurons': 8}, parentFitness=35.3800, childFitness=33.5000, networkFitness=36.8700, genBestFitness=46.1700
