2018-11-02 14:59:57,836 - DEBUG - generation=3, Rank=5, parent={'dropout': 0.5, 'optimizer': 'adam', 'activation': 'tanh', 'nbLayers': 1, 'nbNeurons': 4}, child={'dropout': 0.1, 'optimizer': 'adam', 'activation': 'tanh', 'nbLayers': 1, 'nbNeurons': 4}, parentFitness=25.5500, childFitness=29.7600, networkFitness=30.4900
2018-11-02 15:01:02,394 - DEBUG - generation=3, Rank=6, parent={'dropout': 0.5, 'optimizer': 'adam', 'activation': 'tanh', 'nbLayers': 1, 'nbNeurons': 32}, child={'dropout': 0.5, 'optimizer': 'adam', 'activation': 'tanh', 'nbLayers': 1, 'nbNeurons': 32}, parentFitness=27.3600, childFitness=36.0200, networkFitness=36.0200
2018-11-02 15:02:06,894 - DEBUG - generation=3, Rank=7, parent={'dropout': 0.5, 'optimizer': 'adam', 'activation': 'tanh', 'nbLayers': 1, 'nbNeurons': 32}, child={'dropout': 0.5, 'optimizer': 'adam', 'activation': 'tanh', 'nbLayers': 1, 'nbNeurons': 32}, parentFitness=27.1600, childFitness=35.9000, networkFitness=35.9000
2018-11-02 15:03:11,757 - DEBUG - generation=3, Rank=8, parent={'dropout': 0.5, 'optimizer': 'adam', 'activation': 'tanh', 'nbLayers': 1, 'nbNeurons': 32}, child={'dropout': 0.5, 'optimizer': 'adam', 'activation': 'tanh', 'nbLayers': 1, 'nbNeurons': 32}, parentFitness=29.8900, childFitness=35.4600, networkFitness=35.4600
2018-11-02 15:04:11,889 - DEBUG - generation=3, Rank=9, parent={'dropout': 0.5, 'optimizer': 'adam', 'activation': 'tanh', 'nbLayers': 1, 'nbNeurons': 4}, child={'dropout': 0.5, 'optimizer': 'nadam', 'activation': 'tanh', 'nbLayers': 1, 'nbNeurons': 4}, parentFitness=26.9100, childFitness=21.5700, networkFitness=29.4200
2018-11-02 15:05:57,141 - DEBUG - generation=4, Rank=0, parent={'dropout': 0.5, 'optimizer': 'sgd', 'activation': 'tanh', 'nbLayers': 1, 'nbNeurons': 32}, child={'dropout': 0.5, 'optimizer': 'sgd', 'activation': 'tanh', 'nbLayers': 1, 'nbNeurons': 32}, parentFitness=10.0000, childFitness=34.4900, networkFitness=34.4900
2018-11-02 15:07:09,190 - DEBUG - generation=4, Rank=1, parent={'dropout': 0.3, 'optimizer': 'sgd', 'activation': 'tanh', 'nbLayers': 1, 'nbNeurons': 32}, child={'dropout': 0.3, 'optimizer': 'sgd', 'activation': 'tanh', 'nbLayers': 1, 'nbNeurons': 32}, parentFitness=32.6400, childFitness=38.6100, networkFitness=38.6100
2018-11-02 15:08:26,941 - DEBUG - generation=4, Rank=2, parent={'dropout': 0.5, 'optimizer': 'adam', 'activation': 'tanh', 'nbLayers': 1, 'nbNeurons': 4}, child={'dropout': 0.3, 'optimizer': 'sgd', 'activation': 'tanh', 'nbLayers': 1, 'nbNeurons': 32}, parentFitness=26.9500, childFitness=28.7000, networkFitness=29.0400
2018-11-02 15:09:26,379 - DEBUG - generation=4, Rank=3, parent={'dropout': 0.5, 'optimizer': 'adam', 'activation': 'tanh', 'nbLayers': 1, 'nbNeurons': 4}, child={'dropout': 0.5, 'optimizer': 'adam', 'activation': 'tanh', 'nbLayers': 1, 'nbNeurons': 4}, parentFitness=29.5000, childFitness=24.1600, networkFitness=30.9400
2018-11-02 15:10:40,667 - DEBUG - generation=4, Rank=4, parent={'dropout': 0.5, 'optimizer': 'adam', 'activation': 'tanh', 'nbLayers': 1, 'nbNeurons': 16}, child={'dropout': 0.25, 'optimizer': 'adam', 'activation': 'tanh', 'nbLayers': 1, 'nbNeurons': 4}, parentFitness=33.9600, childFitness=30.3100, networkFitness=34.1900
2018-11-02 15:11:52,013 - DEBUG - generation=4, Rank=5, parent={'dropout': 0.5, 'optimizer': 'adam', 'activation': 'tanh', 'nbLayers': 1, 'nbNeurons': 16}, child={'dropout': 0.5, 'optimizer': 'adam', 'activation': 'tanh', 'nbLayers': 1, 'nbNeurons': 16}, parentFitness=30.8000, childFitness=33.1000, networkFitness=33.1000
2018-11-02 15:13:42,779 - DEBUG - generation=4, Rank=6, parent={'dropout': 0.5, 'optimizer': 'adam', 'activation': 'tanh', 'nbLayers': 1, 'nbNeurons': 32}, child={'dropout': 0.5, 'optimizer': 'adam', 'activation': 'tanh', 'nbLayers': 15, 'nbNeurons': 32}, parentFitness=36.6000, childFitness=10.0000, networkFitness=36.6000
2018-11-02 15:14:59,285 - DEBUG - generation=4, Rank=7, parent={'dropout': 0.5, 'optimizer': 'adam', 'activation': 'tanh', 'nbLayers': 1, 'nbNeurons': 32}, child={'dropout': 0.5, 'optimizer': 'adam', 'activation': 'tanh', 'nbLayers': 1, 'nbNeurons': 32}, parentFitness=35.5600, childFitness=33.7200, networkFitness=35.9000
2018-11-02 15:16:17,838 - DEBUG - generation=4, Rank=8, parent={'dropout': 0.5, 'optimizer': 'adam', 'activation': 'tanh', 'nbLayers': 1, 'nbNeurons': 32}, child={'dropout': 0.5, 'optimizer': 'adam', 'activation': 'tanh', 'nbLayers': 1, 'nbNeurons': 32}, parentFitness=32.9900, childFitness=35.6100, networkFitness=35.6100
2018-11-02 15:17:21,174 - DEBUG - generation=4, Rank=9, parent={'dropout': 0.5, 'optimizer': 'adam', 'activation': 'tanh', 'nbLayers': 1, 'nbNeurons': 4}, child={'dropout': 0.5, 'optimizer': 'adam', 'activation': 'tanh', 'nbLayers': 1, 'nbNeurons': 4}, parentFitness=28.9800, childFitness=30.2300, networkFitness=30.2300
2018-11-02 15:18:50,739 - DEBUG - generation=5, Rank=0, parent={'dropout': 0.25, 'optimizer': 'sgd', 'activation': 'sigmoid', 'nbLayers': 1, 'nbNeurons': 32}, child={'dropout': 0.5, 'optimizer': 'sgd', 'activation': 'sigmoid', 'nbLayers': 1, 'nbNeurons': 4}, parentFitness=36.4500, childFitness=25.3000, networkFitness=36.4500
2018-11-02 15:20:15,079 - DEBUG - generation=5, Rank=1, parent={'dropout': 0.3, 'optimizer': 'sgd', 'activation': 'tanh', 'nbLayers': 1, 'nbNeurons': 32}, child={'dropout': 0.3, 'optimizer': 'sgd', 'activation': 'tanh', 'nbLayers': 1, 'nbNeurons': 32}, parentFitness=33.5000, childFitness=36.2300, networkFitness=38.6100
2018-11-02 15:21:27,735 - DEBUG - generation=5, Rank=2, parent={'dropout': 0.5, 'optimizer': 'adam', 'activation': 'tanh', 'nbLayers': 1, 'nbNeurons': 4}, child={'dropout': 0.5, 'optimizer': 'sgd', 'activation': 'tanh', 'nbLayers': 1, 'nbNeurons': 4}, parentFitness=29.0300, childFitness=25.7500, networkFitness=29.0400
2018-11-02 15:22:30,557 - DEBUG - generation=5, Rank=3, parent={'dropout': 0.5, 'optimizer': 'adam', 'activation': 'tanh', 'nbLayers': 1, 'nbNeurons': 4}, child={'dropout': 0.5, 'optimizer': 'adam', 'activation': 'tanh', 'nbLayers': 1, 'nbNeurons': 4}, parentFitness=29.3200, childFitness=27.2900, networkFitness=30.9400
2018-11-02 15:23:33,301 - DEBUG - generation=5, Rank=4, parent={'dropout': 0.5, 'optimizer': 'adam', 'activation': 'tanh', 'nbLayers': 1, 'nbNeurons': 16}, child={'dropout': 0.5, 'optimizer': 'adam', 'activation': 'tanh', 'nbLayers': 1, 'nbNeurons': 4}, parentFitness=34.4900, childFitness=23.4300, networkFitness=34.4900
2018-11-02 15:24:55,005 - DEBUG - generation=5, Rank=5, parent={'dropout': 0.25, 'optimizer': 'adam', 'activation': 'tanh', 'nbLayers': 1, 'nbNeurons': 16}, child={'dropout': 0.25, 'optimizer': 'adam', 'activation': 'tanh', 'nbLayers': 1, 'nbNeurons': 16}, parentFitness=31.7300, childFitness=37.3300, networkFitness=37.3300
2018-11-02 15:26:12,328 - DEBUG - generation=5, Rank=6, parent={'dropout': 0.5, 'optimizer': 'adam', 'activation': 'tanh', 'nbLayers': 1, 'nbNeurons': 32}, child={'dropout': 0.5, 'optimizer': 'adam', 'activation': 'tanh', 'nbLayers': 1, 'nbNeurons': 32}, parentFitness=32.8700, childFitness=34.3400, networkFitness=36.6000
2018-11-02 15:27:38,078 - DEBUG - generation=5, Rank=7, parent={'dropout': 0.5, 'optimizer': 'adam', 'activation': 'tanh', 'nbLayers': 1, 'nbNeurons': 32}, child={'dropout': 0.5, 'optimizer': 'adam', 'activation': 'tanh', 'nbLayers': 3, 'nbNeurons': 32}, parentFitness=36.6000, childFitness=16.4600, networkFitness=36.6000
2018-11-02 15:29:02,990 - DEBUG - generation=5, Rank=8, parent={'dropout': 0.5, 'optimizer': 'adam', 'activation': 'tanh', 'nbLayers': 1, 'nbNeurons': 32}, child={'dropout': 0.5, 'optimizer': 'adam', 'activation': 'tanh', 'nbLayers': 1, 'nbNeurons': 32}, parentFitness=34.9400, childFitness=34.7600, networkFitness=35.6100
2018-11-02 15:30:08,793 - DEBUG - generation=5, Rank=9, parent={'dropout': 0.5, 'optimizer': 'adam', 'activation': 'tanh', 'nbLayers': 1, 'nbNeurons': 4}, child={'dropout': 0.5, 'optimizer': 'adam', 'activation': 'tanh', 'nbLayers': 1, 'nbNeurons': 4}, parentFitness=27.1200, childFitness=26.4500, networkFitness=30.2300
2018-11-02 15:35:23,128 - DEBUG - generation=6, Rank=0, parent={'dropout': 0.25, 'optimizer': 'adam', 'activation': 'selu', 'nbLayers': 1, 'nbNeurons': 128}, child={'dropout': 0.25, 'optimizer': 'adam', 'activation': 'selu', 'nbLayers': 1, 'nbNeurons': 128}, parentFitness=30.7500, childFitness=46.2500, networkFitness=46.2500
2018-11-02 15:37:40,276 - DEBUG - generation=6, Rank=1, parent={'dropout': 0.3, 'optimizer': 'adam', 'activation': 'selu', 'nbLayers': 1, 'nbNeurons': 128}, child={'dropout': 0.3, 'optimizer': 'adam', 'activation': 'selu', 'nbLayers': 1, 'nbNeurons': 128}, parentFitness=36.8500, childFitness=44.4700, networkFitness=44.4700
2018-11-02 15:38:48,027 - DEBUG - generation=6, Rank=2, parent={'dropout': 0.5, 'optimizer': 'adam', 'activation': 'tanh', 'nbLayers': 1, 'nbNeurons': 4}, child={'dropout': 0.4, 'optimizer': 'adam', 'activation': 'tanh', 'nbLayers': 1, 'nbNeurons': 4}, parentFitness=29.7500, childFitness=17.8500, networkFitness=29.7500
2018-11-02 15:39:56,662 - DEBUG - generation=6, Rank=3, parent={'dropout': 0.5, 'optimizer': 'adam', 'activation': 'tanh', 'nbLayers': 1, 'nbNeurons': 4}, child={'dropout': 0.5, 'optimizer': 'adam', 'activation': 'tanh', 'nbLayers': 1, 'nbNeurons': 4}, parentFitness=29.4400, childFitness=27.0000, networkFitness=30.9400
2018-11-02 15:41:15,605 - DEBUG - generation=6, Rank=4, parent={'dropout': 0.5, 'optimizer': 'adam', 'activation': 'tanh', 'nbLayers': 1, 'nbNeurons': 16}, child={'dropout': 0.5, 'optimizer': 'adam', 'activation': 'tanh', 'nbLayers': 1, 'nbNeurons': 4}, parentFitness=34.9300, childFitness=26.8600, networkFitness=34.9300
2018-11-02 15:42:44,251 - DEBUG - generation=6, Rank=5, parent={'dropout': 0.25, 'optimizer': 'adam', 'activation': 'tanh', 'nbLayers': 1, 'nbNeurons': 16}, child={'dropout': 0.25, 'optimizer': 'adam', 'activation': 'tanh', 'nbLayers': 1, 'nbNeurons': 16}, parentFitness=37.1800, childFitness=30.0800, networkFitness=37.3300
2018-11-02 15:44:27,021 - DEBUG - generation=6, Rank=6, parent={'dropout': 0.5, 'optimizer': 'adam', 'activation': 'tanh', 'nbLayers': 1, 'nbNeurons': 32}, child={'dropout': 0.5, 'optimizer': 'adam', 'activation': 'tanh', 'nbLayers': 1, 'nbNeurons': 32}, parentFitness=37.4200, childFitness=35.3900, networkFitness=37.4200
2018-11-02 15:46:20,878 - DEBUG - generation=6, Rank=7, parent={'dropout': 0.5, 'optimizer': 'adamax', 'activation': 'tanh', 'nbLayers': 1, 'nbNeurons': 32}, child={'dropout': 0.5, 'optimizer': 'adamax', 'activation': 'tanh', 'nbLayers': 1, 'nbNeurons': 32}, parentFitness=35.6500, childFitness=39.4900, networkFitness=39.4900
2018-11-02 15:47:57,670 - DEBUG - generation=6, Rank=8, parent={'dropout': 0.5, 'optimizer': 'adamax', 'activation': 'tanh', 'nbLayers': 1, 'nbNeurons': 32}, child={'dropout': 0.5, 'optimizer': 'adamax', 'activation': 'tanh', 'nbLayers': 1, 'nbNeurons': 32}, parentFitness=34.3700, childFitness=38.3000, networkFitness=38.3000
2018-11-02 15:49:25,650 - DEBUG - generation=6, Rank=9, parent={'dropout': 0.5, 'optimizer': 'adamax', 'activation': 'tanh', 'nbLayers': 1, 'nbNeurons': 4}, child={'dropout': 0.5, 'optimizer': 'adamax', 'activation': 'tanh', 'nbLayers': 1, 'nbNeurons': 4}, parentFitness=22.3900, childFitness=30.7000, networkFitness=30.7000
2018-11-02 15:51:54,052 - DEBUG - generation=7, Rank=0, parent={'dropout': 0.3, 'optimizer': 'nadam', 'activation': 'hard_sigmoid', 'nbLayers': 3, 'nbNeurons': 64}, child={'dropout': 0.3, 'optimizer': 'nadam', 'activation': 'hard_sigmoid', 'nbLayers': 1, 'nbNeurons': 64}, parentFitness=21.8700, childFitness=36.2500, networkFitness=46.2500
2018-11-02 15:54:42,708 - DEBUG - generation=7, Rank=1, parent={'dropout': 0.3, 'optimizer': 'adam', 'activation': 'selu', 'nbLayers': 1, 'nbNeurons': 128}, child={'dropout': 0.2, 'optimizer': 'nadam', 'activation': 'selu', 'nbLayers': 1, 'nbNeurons': 64}, parentFitness=44.1300, childFitness=41.0400, networkFitness=44.4700
2018-11-02 15:55:55,824 - DEBUG - generation=7, Rank=2, parent={'dropout': 0.3, 'optimizer': 'adam', 'activation': 'tanh', 'nbLayers': 1, 'nbNeurons': 4}, child={'dropout': 0.3, 'optimizer': 'adam', 'activation': 'tanh', 'nbLayers': 1, 'nbNeurons': 4}, parentFitness=26.7400, childFitness=30.8700, networkFitness=30.8700
2018-11-02 15:57:06,337 - DEBUG - generation=7, Rank=3, parent={'dropout': 0.5, 'optimizer': 'adam', 'activation': 'tanh', 'nbLayers': 1, 'nbNeurons': 4}, child={'dropout': 0.5, 'optimizer': 'adam', 'activation': 'tanh', 'nbLayers': 1, 'nbNeurons': 4}, parentFitness=28.8000, childFitness=24.6900, networkFitness=30.9400
2018-11-02 15:58:42,171 - DEBUG - generation=7, Rank=4, parent={'dropout': 0.5, 'optimizer': 'adam', 'activation': 'tanh', 'nbLayers': 1, 'nbNeurons': 16}, child={'dropout': 0.5, 'optimizer': 'adam', 'activation': 'tanh', 'nbLayers': 1, 'nbNeurons': 16}, parentFitness=35.0900, childFitness=33.8300, networkFitness=35.0900
