2018-11-02 18:35:29,713 - DEBUG - generation=6, Rank=2, processid=boyle-n010.cluster, parent={'dropout': 0.1, 'optimizer': 'adam', 'activation': 'tanh', 'nbLayers': 1, 'nbNeurons': 128}, child={'dropout': 0.1, 'optimizer': 'adam', 'activation': 'tanh', 'nbLayers': 1, 'nbNeurons': 128}, parentFitness=39.7300, childFitness=38.5800, networkFitness=40.6400
2018-11-02 18:36:04,870 - DEBUG - generation=6, Rank=3, processid=boyle-n010.cluster, parent={'dropout': 0.4, 'optimizer': 'adamax', 'activation': 'tanh', 'nbLayers': 9, 'nbNeurons': 64}, child={'dropout': 0.1, 'optimizer': 'adamax', 'activation': 'tanh', 'nbLayers': 9, 'nbNeurons': 128}, parentFitness=9.9800, childFitness=39.3900, networkFitness=40.1200
2018-11-02 18:38:21,896 - DEBUG - generation=7, Rank=2, processid=boyle-n010.cluster, parent={'dropout': 0.1, 'optimizer': 'adam', 'activation': 'tanh', 'nbLayers': 1, 'nbNeurons': 128}, child={'dropout': 0.1, 'optimizer': 'adam', 'activation': 'tanh', 'nbLayers': 1, 'nbNeurons': 64}, parentFitness=39.9400, childFitness=38.6400, networkFitness=40.6400
2018-11-02 18:38:27,104 - DEBUG - generation=7, Rank=3, processid=boyle-n010.cluster, parent={'dropout': 0.4, 'optimizer': 'adadelta', 'activation': 'tanh', 'nbLayers': 1, 'nbNeurons': 64}, child={'dropout': 0.3, 'optimizer': 'adadelta', 'activation': 'tanh', 'nbLayers': 1, 'nbNeurons': 64}, parentFitness=37.7500, childFitness=35.7100, networkFitness=40.1200
2018-11-02 18:38:56,733 - DEBUG - generation=7, Rank=1, processid=boyle-n010.cluster, parent={'dropout': 0.1, 'optimizer': 'adam', 'activation': 'hard_sigmoid', 'nbLayers': 1, 'nbNeurons': 64}, child={'dropout': 0.1, 'optimizer': 'adam', 'activation': 'hard_sigmoid', 'nbLayers': 1, 'nbNeurons': 128}, parentFitness=43.0800, childFitness=42.7900, networkFitness=43.1100
2018-11-02 18:39:06,579 - DEBUG - generation=7, Rank=0, processid=boyle-n010.cluster, parent={'dropout': 0.1, 'optimizer': 'adam', 'activation': 'hard_sigmoid', 'nbLayers': 1, 'nbNeurons': 128}, child={'dropout': 0.4, 'optimizer': 'adadelta', 'activation': 'hard_sigmoid', 'nbLayers': 1, 'nbNeurons': 128}, parentFitness=43.4600, childFitness=44.3100, networkFitness=44.3300
2018-11-02 18:41:13,273 - DEBUG - generation=8, Rank=0, processid=boyle-n010.cluster, parent={'dropout': 0.1, 'optimizer': 'adam', 'activation': 'hard_sigmoid', 'nbLayers': 1, 'nbNeurons': 128}, child={'dropout': 0.1, 'optimizer': 'adam', 'activation': 'hard_sigmoid', 'nbLayers': 1, 'nbNeurons': 4}, parentFitness=44.6300, childFitness=23.6900, networkFitness=44.6300
2018-11-02 18:41:41,843 - DEBUG - generation=8, Rank=1, processid=boyle-n010.cluster, parent={'dropout': 0.1, 'optimizer': 'adam', 'activation': 'hard_sigmoid', 'nbLayers': 1, 'nbNeurons': 128}, child={'dropout': 0.1, 'optimizer': 'adam', 'activation': 'hard_sigmoid', 'nbLayers': 1, 'nbNeurons': 128}, parentFitness=42.5900, childFitness=44.2200, networkFitness=44.2200
2018-11-02 18:41:49,827 - DEBUG - generation=8, Rank=3, processid=boyle-n010.cluster, parent={'dropout': 0.4, 'optimizer': 'adagrad', 'activation': 'selu', 'nbLayers': 1, 'nbNeurons': 128}, child={'dropout': 0.4, 'optimizer': 'adagrad', 'activation': 'selu', 'nbLayers': 1, 'nbNeurons': 128}, parentFitness=10.0000, childFitness=42.9200, networkFitness=42.9200
2018-11-02 18:41:53,217 - DEBUG - generation=8, Rank=2, processid=boyle-n010.cluster, parent={'dropout': 0.1, 'optimizer': 'adam', 'activation': 'tanh', 'nbLayers': 1, 'nbNeurons': 128}, child={'dropout': 0.3, 'optimizer': 'adam', 'activation': 'tanh', 'nbLayers': 1, 'nbNeurons': 128}, parentFitness=37.1600, childFitness=37.8800, networkFitness=40.6400
2018-11-02 18:43:58,702 - DEBUG - generation=9, Rank=2, processid=boyle-n010.cluster, parent={'dropout': 0.4, 'optimizer': 'adamax', 'activation': 'tanh', 'nbLayers': 1, 'nbNeurons': 32}, child={'dropout': 0.1, 'optimizer': 'adam', 'activation': 'tanh', 'nbLayers': 1, 'nbNeurons': 16}, parentFitness=37.2400, childFitness=37.7100, networkFitness=40.6400
2018-11-02 18:44:12,526 - DEBUG - generation=9, Rank=3, processid=boyle-n010.cluster, parent={'dropout': 0.4, 'optimizer': 'adagrad', 'activation': 'selu', 'nbLayers': 1, 'nbNeurons': 128}, child={'dropout': 0.4, 'optimizer': 'adamax', 'activation': 'selu', 'nbLayers': 1, 'nbNeurons': 32}, parentFitness=42.8700, childFitness=41.9900, networkFitness=42.9200
2018-11-02 18:44:40,131 - DEBUG - generation=9, Rank=1, processid=boyle-n010.cluster, parent={'dropout': 0.1, 'optimizer': 'adam', 'activation': 'hard_sigmoid', 'nbLayers': 1, 'nbNeurons': 128}, child={'dropout': 0.1, 'optimizer': 'adam', 'activation': 'hard_sigmoid', 'nbLayers': 1, 'nbNeurons': 128}, parentFitness=43.3800, childFitness=43.7500, networkFitness=44.2200
